      Acc.(g)          P05          P50          P95        PMEAN
   1.0000E-01   5.0364E-16   6.3988E-11   6.7240E-07   1.3069E-06
   1.1000E-01   4.7548E-15   3.8929E-10   2.6482E-06   3.7341E-06
   1.2000E-01   3.4507E-14   1.8926E-09   8.6648E-06   9.2535E-06
   1.3000E-01   2.0185E-13   7.6619E-09   2.4393E-05   2.0461E-05
   1.4000E-01   9.8667E-13   2.6650E-08   6.0670E-05   4.1231E-05
   1.5000E-01   4.1452E-12   8.1596E-08   1.3606E-04   7.6952E-05
   1.6000E-01   1.5304E-11   2.2416E-07   2.7959E-04   1.3470E-04
   1.7000E-01   5.0544E-11   5.6110E-07   5.3320E-04   2.2332E-04
   1.8000E-01   1.5153E-10   1.2957E-06   9.5358E-04   3.5346E-04
   1.9000E-01   4.1735E-10   2.7888E-06   1.6128E-03   5.3749E-04
   2.0000E-01   1.0666E-09   5.6423E-06   2.5978E-03   7.8935E-04
   2.1000E-01   2.5507E-09   1.0807E-05   4.0084E-03   1.1243E-03
   2.2000E-01   5.7489E-09   1.9717E-05   5.9535E-03   1.5589E-03
   2.3000E-01   1.2286E-08   3.4437E-05   8.5469E-03   2.1100E-03
   2.4000E-01   2.4962E-08   5.7836E-05   1.1901E-02   2.7954E-03
   2.5000E-01   4.8265E-08   9.3760E-05   1.6123E-02   3.6326E-03
   2.6000E-01   8.9599E-08   1.4720E-04   2.1303E-02   4.6387E-03
   2.7000E-01   1.6026E-07   2.2445E-04   2.7514E-02   5.8301E-03
   2.8000E-01   2.7702E-07   3.3303E-04   3.4802E-02   7.2220E-03
   2.9000E-01   4.6926E-07   4.8062E-04   4.3376E-02   8.8280E-03
   3.0000E-01   7.7587E-07   6.7154E-04   5.3275E-02   1.0660E-02
   3.1000E-01   1.2503E-06   9.2496E-04   6.4436E-02   1.2727E-02
   3.2000E-01   1.9674E-06   1.2567E-03   7.6840E-02   1.5036E-02
   3.3000E-01   3.0281E-06   1.6862E-03   9.0440E-02   1.7592E-02
   3.4000E-01   4.5660E-06   2.2286E-03   1.0516E-01   2.0395E-02
   3.5000E-01   6.7543E-06   2.9016E-03   1.2090E-01   2.3445E-02
   3.6000E-01   9.8139E-06   3.6410E-03   1.3752E-01   2.6736E-02
   3.7000E-01   1.4022E-05   4.5728E-03   1.5489E-01   3.0261E-02
   3.8000E-01   1.9722E-05   5.7053E-03   1.7282E-01   3.4007E-02
   3.9000E-01   2.7332E-05   6.9656E-03   1.9112E-01   3.7962E-02
   4.0000E-01   3.7333E-05   8.4257E-03   2.0961E-01   4.2108E-02
   4.1000E-01   4.9822E-05   1.0017E-02   2.2542E-01   4.6426E-02
   4.2000E-01   6.5610E-05   1.1810E-02   2.4595E-01   5.0893E-02
   4.3000E-01   8.5313E-05   1.3545E-02   2.5908E-01   5.5485E-02
   4.4000E-01   1.0960E-04   1.5927E-02   2.7425E-01   6.0174E-02
