      Acc.(g)          P05          P50          P95        PMEAN
   4.5000E-01   1.3987E-04   1.8633E-02   2.9082E-01   6.4934E-02
   4.6000E-01   1.7240E-04   2.1362E-02   3.0970E-01   6.9735E-02
   4.7000E-01   2.1655E-04   2.4289E-02   3.2913E-01   7.4545E-02
   4.8000E-01   2.6321E-04   2.7152E-02   3.4575E-01   7.9334E-02
   4.9000E-01   3.2102E-04   2.9837E-02   3.5769E-01   8.4070E-02
   5.0000E-01   3.8718E-04   3.2708E-02   3.7298E-01   8.8723E-02
   5.1000E-01   4.4937E-04   3.5683E-02   3.7858E-01   9.3261E-02
   5.2000E-01   5.0897E-04   3.8518E-02   3.8405E-01   9.7654E-02
   5.3000E-01   5.9672E-04   4.2003E-02   3.9228E-01   1.0187E-01
   5.4000E-01   6.5888E-04   4.5379E-02   3.9838E-01   1.0590E-01
   5.5000E-01   7.4618E-04   4.8373E-02   4.0442E-01   1.0969E-01
   5.6000E-01   8.5481E-04   5.1522E-02   4.1488E-01   1.1324E-01
   5.7000E-01   9.7840E-04   5.4551E-02   4.2724E-01   1.1652E-01
   5.8000E-01   1.1074E-03   5.7494E-02   4.3256E-01   1.1951E-01
   5.9000E-01   1.2054E-03   6.0271E-02   4.4124E-01   1.2220E-01
   6.0000E-01   1.3499E-03   6.3022E-02   4.5084E-01   1.2458E-01
   6.1000E-01   1.4791E-03   6.5472E-02   4.5288E-01   1.2663E-01
   6.2000E-01   1.6033E-03   6.7575E-02   4.5174E-01   1.2835E-01
   6.3000E-01   1.7226E-03   7.0360E-02   4.4520E-01   1.2973E-01
   6.4000E-01   1.8458E-03   7.1439E-02   4.4476E-01   1.3078E-01
   6.5000E-01   2.0042E-03   7.1786E-02   4.4638E-01   1.3149E-01
   6.6000E-01   2.1387E-03   7.1993E-02   4.4442E-01   1.3187E-01
   6.7000E-01   2.2326E-03   7.3032E-02   4.5041E-01   1.3192E-01
   6.8000E-01   2.3383E-03   7.2347E-02   4.5791E-01   1.3166E-01
   6.9000E-01   2.4577E-03   7.4804E-02   4.4748E-01   1.3109E-01
   7.0000E-01   2.3816E-03   7.5791E-02   4.4487E-01   1.3023E-01
   7.1000E-01   2.2909E-03   7.5634E-02   4.3312E-01   1.2908E-01
   7.2000E-01   2.3375E-03   7.4618E-02   4.3316E-01   1.2767E-01
   7.3000E-01   2.3903E-03   7.3718E-02   4.3242E-01   1.2601E-01
   7.4000E-01   2.2878E-03   7.2653E-02   4.2887E-01   1.2411E-01
   7.5000E-01   2.3350E-03   7.1098E-02   4.2424E-01   1.2200E-01
   7.6000E-01   2.3531E-03   6.9224E-02   4.1641E-01   1.1970E-01
   7.7000E-01   2.2707E-03   6.6822E-02   4.1006E-01   1.1722E-01
   7.8000E-01   2.0890E-03   6.4798E-02   4.0123E-01   1.1457E-01
   7.9000E-01   1.8766E-03   6.2372E-02   3.9724E-01   1.1179E-01
   8.0000E-01   1.7946E-03   6.0145E-02   3.9252E-01   1.0888E-01
   8.1000E-01   1.7222E-03   5.7314E-02   3.8580E-01   1.0587E-01
   8.2000E-01   1.7470E-03   5.4922E-02   3.7412E-01   1.0277E-01
   8.3000E-01   1.6272E-03   5.2354E-02   3.6366E-01   9.9606E-02
   8.4000E-01   1.5216E-03   5.0456E-02   3.5342E-01   9.6384E-02
   8.5000E-01   1.3404E-03   4.8071E-02   3.4701E-01   9.3123E-02
   8.6000E-01   1.2310E-03   4.5894E-02   3.3475E-01   8.9838E-02
   8.7000E-01   1.1094E-03   4.4097E-02   3.3132E-01   8.6542E-02
   8.8000E-01   9.6428E-04   4.2419E-02   3.2350E-01   8.3249E-02
   8.9000E-01   8.5241E-04   4.0152E-02   3.1458E-01   7.9970E-02
   9.0000E-01   8.1251E-04   3.7726E-02   3.0211E-01   7.6717E-02
   9.1000E-01   7.3997E-04   3.5638E-02   2.8923E-01   7.3498E-02
   9.2000E-01   6.5850E-04   3.3016E-02   2.7880E-01   7.0324E-02
   9.3000E-01   5.9484E-04   3.1443E-02   2.6867E-01   6.7202E-02
   9.4000E-01   5.1527E-04   2.8926E-02   2.5790E-01   6.4140E-02
   9.5000E-01   4.7727E-04   2.6679E-02   2.4611E-01   6.1145E-02
   9.6000E-01   4.4641E-04   2.4841E-02   2.3398E-01   5.8221E-02
   9.7000E-01   3.9546E-04   2.2798E-02   2.2379E-01   5.5373E-02
   9.8000E-01   3.4631E-04   2.1211E-02   2.1270E-01   5.2606E-02
   9.9000E-01   2.9796E-04   1.9470E-02   2.0248E-01   4.9923E-02
   1.0000E+00   2.6024E-04   1.8029E-02   1.9344E-01   4.7326E-02
   1.0100E+00   2.3366E-04   1.6956E-02   1.8435E-01   4.4818E-02
   1.0200E+00   2.0390E-04   1.6019E-02   1.7433E-01   4.2399E-02
   1.0300E+00   1.7445E-04   1.5016E-02   1.6410E-01   4.0071E-02
   1.0400E+00   1.5023E-04   1.3485E-02   1.5443E-01   3.7835E-02
   1.0500E+00   1.2915E-04   1.2321E-02   1.4531E-01   3.5689E-02
   1.0600E+00   1.1180E-04   1.1278E-02   1.3898E-01   3.3634E-02
   1.0700E+00   9.8133E-05   1.0310E-02   1.3250E-01   3.1669E-02
   1.0800E+00   8.5136E-05   9.3004E-03   1.2622E-01   2.9792E-02
   1.0900E+00   7.2191E-05   8.3601E-03   1.2133E-01   2.8002E-02
   1.1000E+00   6.2192E-05   7.4379E-03   1.1552E-01   2.6298E-02
