      Acc.(g)          P05          P50          P95        PMEAN
   8.7000E-01   4.4119E-02   4.1930E-01   8.9744E-01   4.3817E-01
   8.8000E-01   4.0745E-02   4.0309E-01   8.9051E-01   4.2679E-01
   8.9000E-01   3.7612E-02   3.8780E-01   8.8331E-01   4.1557E-01
   9.0000E-01   3.4705E-02   3.7421E-01   8.7583E-01   4.0453E-01
   9.1000E-01   3.1482E-02   3.5950E-01   8.6809E-01   3.9365E-01
   9.2000E-01   2.8454E-02   3.4462E-01   8.6005E-01   3.8295E-01
   9.3000E-01   2.5697E-02   3.3057E-01   8.5159E-01   3.7243E-01
   9.4000E-01   2.3190E-02   3.1666E-01   8.4287E-01   3.6209E-01
   9.5000E-01   2.0913E-02   3.0385E-01   8.3461E-01   3.5194E-01
   9.6000E-01   1.8847E-02   2.8998E-01   8.2614E-01   3.4198E-01
   9.7000E-01   1.7102E-02   2.7642E-01   8.1720E-01   3.3222E-01
   9.8000E-01   1.5574E-02   2.6472E-01   8.0800E-01   3.2264E-01
   9.9000E-01   1.4176E-02   2.5343E-01   7.9809E-01   3.1326E-01
   1.0000E+00   1.2898E-02   2.4243E-01   7.8821E-01   3.0407E-01
   1.0100E+00   1.1731E-02   2.3130E-01   7.7815E-01   2.9508E-01
   1.0200E+00   1.0688E-02   2.2134E-01   7.6790E-01   2.8628E-01
   1.0300E+00   9.7223E-03   2.1107E-01   7.5745E-01   2.7768E-01
   1.0400E+00   8.8422E-03   2.0072E-01   7.4635E-01   2.6928E-01
   1.0500E+00   8.0830E-03   1.9026E-01   7.3496E-01   2.6107E-01
   1.0600E+00   7.4137E-03   1.8214E-01   7.2340E-01   2.5305E-01
   1.0700E+00   6.7980E-03   1.7398E-01   7.1169E-01   2.4523E-01
   1.0800E+00   6.1876E-03   1.6489E-01   6.9983E-01   2.3760E-01
   1.0900E+00   5.6208E-03   1.5599E-01   6.8840E-01   2.3016E-01
   1.1000E+00   5.1039E-03   1.4805E-01   6.7739E-01   2.2290E-01
   1.1100E+00   4.6327E-03   1.4004E-01   6.6630E-01   2.1583E-01
   1.1200E+00   4.2034E-03   1.3327E-01   6.5534E-01   2.0895E-01
   1.1300E+00   3.8125E-03   1.2699E-01   6.4489E-01   2.0225E-01
