      Acc.(g)          P05          P50          P95        PMEAN
   1.4400E+00   5.5640E-02   5.8806E-01   9.7920E-01   5.5940E-01
   1.4500E+00   5.8371E-02   5.9732E-01   9.8037E-01   5.6571E-01
   1.4600E+00   6.1185E-02   6.0646E-01   9.8147E-01   5.7197E-01
   1.4700E+00   6.4084E-02   6.1549E-01   9.8251E-01   5.7816E-01
   1.4800E+00   6.7069E-02   6.2439E-01   9.8350E-01   5.8429E-01
   1.4900E+00   7.0138E-02   6.3316E-01   9.8443E-01   5.9036E-01
   1.5000E+00   7.3293E-02   6.4181E-01   9.8531E-01   5.9637E-01
   1.5100E+00   7.6533E-02   6.5033E-01   9.8614E-01   6.0232E-01
   1.5200E+00   7.9858E-02   6.5872E-01   9.8693E-01   6.0820E-01
   1.5300E+00   8.3269E-02   6.6698E-01   9.8767E-01   6.1403E-01
   1.5400E+00   8.6765E-02   6.7511E-01   9.8837E-01   6.1978E-01
   1.5500E+00   9.0345E-02   6.8310E-01   9.8903E-01   6.2548E-01
   1.5600E+00   9.4010E-02   6.9095E-01   9.8965E-01   6.3111E-01
   1.5700E+00   9.7760E-02   6.9867E-01   9.9024E-01   6.3668E-01
   1.5800E+00   1.0159E-01   7.0626E-01   9.9080E-01   6.4218E-01
   1.5900E+00   1.0551E-01   7.1370E-01   9.9133E-01   6.4762E-01
   1.6000E+00   1.0951E-01   7.2101E-01   9.9182E-01   6.5299E-01
   1.6100E+00   1.1359E-01   7.2819E-01   9.9229E-01   6.5831E-01
   1.6200E+00   1.1775E-01   7.3523E-01   9.9273E-01   6.6355E-01
   1.6300E+00   1.2199E-01   7.4213E-01   9.9315E-01   6.6874E-01
   1.6400E+00   1.2631E-01   7.4889E-01   9.9354E-01   6.7386E-01
   1.6500E+00   1.3071E-01   7.5552E-01   9.9391E-01   6.7892E-01
   1.6600E+00   1.3518E-01   7.6202E-01   9.9426E-01   6.8391E-01
   1.6700E+00   1.3974E-01   7.6838E-01   9.9459E-01   6.8884E-01
   1.6800E+00   1.4436E-01   7.7461E-01   9.9490E-01   6.9371E-01
   1.6900E+00   1.4906E-01   7.8070E-01   9.9520E-01   6.9852E-01
   1.7000E+00   1.5384E-01   7.8667E-01   9.9547E-01   7.0326E-01
   1.7100E+00   1.5868E-01   7.9250E-01   9.9573E-01   7.0794E-01
   1.7200E+00   1.6360E-01   7.9821E-01   9.9598E-01   7.1256E-01
   1.7300E+00   1.6858E-01   8.0379E-01   9.9621E-01   7.1712E-01
   1.7400E+00   1.7363E-01   8.0924E-01   9.9643E-01   7.2162E-01
   1.7500E+00   1.7875E-01   8.1457E-01   9.9663E-01   7.2605E-01
   1.7600E+00   1.8393E-01   8.1978E-01   9.9683E-01   7.3043E-01
   1.7700E+00   1.8917E-01   8.2486E-01   9.9701E-01   7.3475E-01
   1.7800E+00   1.9447E-01   8.2983E-01   9.9718E-01   7.3900E-01
   1.7900E+00   1.9983E-01   8.3467E-01   9.9735E-01   7.4320E-01
   1.8000E+00   2.0525E-01   8.3940E-01   9.9750E-01   7.4734E-01
   1.8100E+00   2.1072E-01   8.4402E-01   9.9764E-01   7.5143E-01
   1.8200E+00   2.1625E-01   8.4852E-01   9.9778E-01   7.5545E-01
   1.8300E+00   2.2183E-01   8.5291E-01   9.9791E-01   7.5942E-01
   1.8400E+00   2.2746E-01   8.5719E-01   9.9803E-01   7.6333E-01
   1.8500E+00   2.3314E-01   8.6137E-01   9.9814E-01   7.6718E-01
   1.8600E+00   2.3887E-01   8.6544E-01   9.9825E-01   7.7098E-01
   1.8700E+00   2.4464E-01   8.6940E-01   9.9835E-01   7.7472E-01
   1.8800E+00   2.5045E-01   8.7326E-01   9.9845E-01   7.7841E-01
   1.8900E+00   2.5631E-01   8.7703E-01   9.9854E-01   7.8205E-01
   1.9000E+00   2.6220E-01   8.8069E-01   9.9862E-01   7.8563E-01
   1.9100E+00   2.6813E-01   8.8426E-01   9.9870E-01   7.8916E-01
   1.9200E+00   2.7410E-01   8.8773E-01   9.9878E-01   7.9264E-01
   1.9300E+00   2.8010E-01   8.9111E-01   9.9885E-01   7.9606E-01
   1.9400E+00   2.8613E-01   8.9440E-01   9.9891E-01   7.9943E-01
   1.9500E+00   2.9219E-01   8.9760E-01   9.9898E-01   8.0275E-01
   1.9600E+00   2.9827E-01   9.0072E-01   9.9903E-01   8.0603E-01
   1.9700E+00   3.0439E-01   9.0375E-01   9.9909E-01   8.0925E-01
   1.9800E+00   3.1053E-01   9.0669E-01   9.9914E-01   8.1242E-01
   1.9900E+00   3.1668E-01   9.0956E-01   9.9919E-01   8.1555E-01
   2.0000E+00   3.2286E-01   9.1234E-01   9.9924E-01   8.1862E-01
