      Acc.(g)          P05          P50          P95        PMEAN
   1.0000E-01   1.9259E-27   1.4195E-19   4.0439E-13   5.6412E-11
   1.1000E-01   6.5223E-26   2.6638E-18   4.2161E-12   3.4002E-10
   1.2000E-01   1.4804E-24   3.5280E-17   3.2672E-11   1.6084E-09
   1.3000E-01   2.4184E-23   3.5126E-16   1.9880E-10   6.2560E-09
   1.4000E-01   3.0029E-22   2.7583E-15   9.9009E-10   2.0722E-08
   1.5000E-01   2.9566E-21   1.7732E-14   4.1679E-09   6.0059E-08
   1.6000E-01   2.3873E-20   9.6121E-14   1.5212E-08   1.5559E-07
   1.7000E-01   1.6242E-19   4.4987E-13   4.9125E-08   3.6642E-07
   1.8000E-01   9.5189E-19   1.8534E-12   1.4270E-07   7.9535E-07
   1.9000E-01   4.8939E-18   6.8287E-12   3.7799E-07   1.6091E-06
   2.0000E-01   2.2411E-17   2.2802E-11   9.2329E-07   3.0623E-06
   2.1000E-01   9.2595E-17   6.9776E-11   2.0994E-06   5.5251E-06
   2.2000E-01   3.4894E-16   1.9753E-10   4.4796E-06   9.5116E-06
   2.3000E-01   1.2106E-15   5.2150E-10   9.0308E-06   1.5710E-05
   2.4000E-01   3.8979E-15   1.2930E-09   1.7302E-05   2.5011E-05
   2.5000E-01   1.1729E-14   3.0287E-09   3.1661E-05   3.8537E-05
   2.6000E-01   3.3187E-14   6.7379E-09   5.5582E-05   5.7664E-05
   2.7000E-01   8.8764E-14   1.4301E-08   9.3969E-05   8.4042E-05
   2.8000E-01   2.2549E-13   2.9079E-08   1.5351E-04   1.1962E-04
   2.9000E-01   5.4631E-13   5.6842E-08   2.4306E-04   1.6664E-04
   3.0000E-01   1.2670E-12   1.0716E-07   3.7394E-04   2.2766E-04
   3.1000E-01   2.8224E-12   1.9538E-07   5.6036E-04   3.0558E-04
   3.2000E-01   6.0563E-12   3.4542E-07   8.1957E-04   4.0356E-04
   3.3000E-01   1.2552E-11   5.9345E-07   1.1722E-03   5.2513E-04
   3.4000E-01   2.5189E-11   9.9286E-07   1.6421E-03   6.7407E-04
   3.5000E-01   4.9047E-11   1.6206E-06   2.2568E-03   8.5446E-04
   3.6000E-01   9.2852E-11   2.5849E-06   3.0467E-03   1.0707E-03
   3.7000E-01   1.7121E-10   4.0354E-06   4.0457E-03   1.3272E-03
   3.8000E-01   3.0800E-10   6.1744E-06   5.2900E-03   1.6290E-03
   3.9000E-01   5.4135E-10   9.2708E-06   6.8182E-03   1.9810E-03
   4.0000E-01   9.3098E-10   1.3676E-05   8.6704E-03   2.3884E-03
   4.1000E-01   1.5685E-09   1.9842E-05   1.0888E-02   2.8564E-03
   4.2000E-01   2.5917E-09   2.8340E-05   1.3512E-02   3.3904E-03
   4.3000E-01   4.2048E-09   3.9886E-05   1.6585E-02   3.9960E-03
   4.4000E-01   6.7048E-09   5.5361E-05   2.0146E-02   4.6785E-03
   4.5000E-01   1.0517E-08   7.5836E-05   2.4233E-02   5.4435E-03
   4.6000E-01   1.6243E-08   1.0260E-04   2.8883E-02   6.2965E-03
   4.7000E-01   2.4718E-08   1.3719E-04   3.4128E-02   7.2427E-03
   4.8000E-01   3.7093E-08   1.8140E-04   3.9998E-02   8.2875E-03
   4.9000E-01   5.4925E-08   2.3733E-04   4.6516E-02   9.4361E-03
   5.0000E-01   8.0304E-08   3.0740E-04   5.3704E-02   1.0693E-02
   5.1000E-01   1.1600E-07   3.9437E-04   6.1577E-02   1.2064E-02
   5.2000E-01   1.6564E-07   5.0137E-04   7.0145E-02   1.3553E-02
   5.3000E-01   2.3394E-07   6.3190E-04   7.9414E-02   1.5165E-02
   5.4000E-01   3.2694E-07   7.8987E-04   8.9382E-02   1.6903E-02
   5.5000E-01   4.5234E-07   9.7960E-04   1.0004E-01   1.8772E-02
   5.6000E-01   6.1986E-07   1.2058E-03   1.1139E-01   2.0775E-02
   5.7000E-01   8.4164E-07   1.4736E-03   1.2340E-01   2.2915E-02
   5.8000E-01   1.1327E-06   1.7887E-03   1.3607E-01   2.5196E-02
   5.9000E-01   1.5116E-06   2.1568E-03   1.4935E-01   2.7619E-02
   6.0000E-01   2.0010E-06   2.5845E-03   1.6323E-01   3.0188E-02
   6.1000E-01   2.6283E-06   3.0784E-03   1.7767E-01   3.2904E-02
   6.2000E-01   3.4264E-06   3.6456E-03   1.9264E-01   3.5769E-02
   6.3000E-01   4.4349E-06   4.2936E-03   2.0810E-01   3.8784E-02
   6.4000E-01   5.7006E-06   5.0300E-03   2.2401E-01   4.1951E-02
   6.5000E-01   7.2790E-06   5.8628E-03   2.4032E-01   4.5270E-02
   6.6000E-01   9.2350E-06   6.8001E-03   2.5700E-01   4.8740E-02
   6.7000E-01   1.1645E-05   7.8504E-03   2.7400E-01   5.2364E-02
   6.8000E-01   1.4596E-05   9.0221E-03   2.9127E-01   5.6139E-02
   6.9000E-01   1.8190E-05   1.0324E-02   3.0877E-01   6.0066E-02
   7.0000E-01   2.2544E-05   1.1764E-02   3.2646E-01   6.4143E-02
   7.1000E-01   2.7791E-05   1.3351E-02   3.4428E-01   6.8370E-02
   7.2000E-01   3.4084E-05   1.5094E-02   3.6220E-01   7.2745E-02
   7.3000E-01   4.1593E-05   1.7001E-02   3.8018E-01   7.7267E-02
   7.4000E-01   5.0513E-05   1.9080E-02   3.9816E-01   8.1933E-02
   7.5000E-01   6.1061E-05   2.1339E-02   4.1613E-01   8.6741E-02
   7.6000E-01   7.3479E-05   2.3786E-02   4.3402E-01   9.1689E-02
   7.7000E-01   8.8037E-05   2.6428E-02   4.5182E-01   9.6774E-02
   7.8000E-01   1.0504E-04   2.9272E-02   4.6948E-01   1.0199E-01
   7.9000E-01   1.2481E-04   3.2325E-02   4.8698E-01   1.0735E-01
   8.0000E-01   1.4771E-04   3.5592E-02   5.0428E-01   1.1282E-01
   8.1000E-01   1.7415E-04   3.9080E-02   5.2136E-01   1.1843E-01
   8.2000E-01   2.0455E-04   4.2793E-02   5.3819E-01   1.2416E-01
   8.3000E-01   2.3940E-04   4.6736E-02   5.5475E-01   1.3000E-01
   8.4000E-01   2.7921E-04   5.0913E-02   5.7102E-01   1.3596E-01
   8.5000E-01   3.2453E-04   5.5328E-02   5.8698E-01   1.4203E-01
   8.6000E-01   3.7597E-04   5.9982E-02   6.0261E-01   1.4820E-01
   8.7000E-01   4.3416E-04   6.4879E-02   6.1790E-01   1.5448E-01
   8.8000E-01   4.9981E-04   7.0019E-02   6.3284E-01   1.6086E-01
   8.9000E-01   5.7365E-04   7.5404E-02   6.4741E-01   1.6733E-01
   9.0000E-01   6.5646E-04   8.1033E-02   6.6161E-01   1.7389E-01
   9.1000E-01   7.4908E-04   8.6907E-02   6.7544E-01   1.8054E-01
   9.2000E-01   8.5240E-04   9.3023E-02   6.8887E-01   1.8727E-01
   9.3000E-01   9.6736E-04   9.9381E-02   7.0192E-01   1.9408E-01
   9.4000E-01   1.0949E-03   1.0598E-01   7.1458E-01   2.0096E-01
   9.5000E-01   1.2362E-03   1.1281E-01   7.2685E-01   2.0791E-01
   9.6000E-01   1.3922E-03   1.1988E-01   7.3872E-01   2.1493E-01
   9.7000E-01   1.5640E-03   1.2717E-01   7.5021E-01   2.2200E-01
   9.8000E-01   1.7530E-03   1.3469E-01   7.6131E-01   2.2913E-01
   9.9000E-01   1.9602E-03   1.4242E-01   7.7202E-01   2.3632E-01
   1.0000E+00   2.1871E-03   1.5037E-01   7.8236E-01   2.4355E-01
   1.0100E+00   2.4349E-03   1.5853E-01   7.9232E-01   2.5083E-01
   1.0200E+00   2.7050E-03   1.6688E-01   8.0191E-01   2.5815E-01
   1.0300E+00   2.9988E-03   1.7543E-01   8.1114E-01   2.6550E-01
   1.0400E+00   3.3179E-03   1.8417E-01   8.2001E-01   2.7289E-01
   1.0500E+00   3.6636E-03   1.9308E-01   8.2854E-01   2.8030E-01
   1.0600E+00   4.0376E-03   2.0216E-01   8.3673E-01   2.8774E-01
   1.0700E+00   4.4414E-03   2.1141E-01   8.4458E-01   2.9520E-01
   1.0800E+00   4.8766E-03   2.2081E-01   8.5212E-01   3.0268E-01
   1.0900E+00   5.3450E-03   2.3035E-01   8.5934E-01   3.1017E-01
   1.1000E+00   5.8480E-03   2.4004E-01   8.6625E-01   3.1767E-01
   1.1100E+00   6.3876E-03   2.4984E-01   8.7286E-01   3.2518E-01
   1.1200E+00   6.9652E-03   2.5977E-01   8.7919E-01   3.3269E-01
   1.1300E+00   7.5828E-03   2.6981E-01   8.8524E-01   3.4020E-01
   1.1400E+00   8.2420E-03   2.7994E-01   8.9102E-01   3.4771E-01
   1.1500E+00   8.9446E-03   2.9016E-01   8.9655E-01   3.5521E-01
   1.1600E+00   9.6924E-03   3.0047E-01   9.0182E-01   3.6270E-01
   1.1700E+00   1.0487E-02   3.1085E-01   9.0684E-01   3.7019E-01
   1.1800E+00   1.1330E-02   3.2129E-01   9.1164E-01   3.7765E-01
   1.1900E+00   1.2224E-02   3.3178E-01   9.1621E-01   3.8510E-01
   1.2000E+00   1.3170E-02   3.4232E-01   9.2056E-01   3.9253E-01
   1.2100E+00   1.4171E-02   3.5289E-01   9.2471E-01   3.9993E-01
   1.2200E+00   1.5226E-02   3.6349E-01   9.2866E-01   4.0731E-01
   1.2300E+00   1.6340E-02   3.7410E-01   9.3241E-01   4.1467E-01
   1.2400E+00   1.7512E-02   3.8473E-01   9.3599E-01   4.2199E-01
   1.2500E+00   1.8745E-02   3.9536E-01   9.3938E-01   4.2928E-01
   1.2600E+00   2.0041E-02   4.0598E-01   9.4261E-01   4.3654E-01
   1.2700E+00   2.1400E-02   4.1658E-01   9.4568E-01   4.4376E-01
   1.2800E+00   2.2826E-02   4.2716E-01   9.4860E-01   4.5094E-01
   1.2900E+00   2.4318E-02   4.3771E-01   9.5137E-01   4.5808E-01
   1.3000E+00   2.5879E-02   4.4823E-01   9.5399E-01   4.6518E-01
   1.3100E+00   2.7510E-02   4.5870E-01   9.5649E-01   4.7224E-01
   1.3200E+00   2.9212E-02   4.6912E-01   9.5885E-01   4.7925E-01
   1.3300E+00   3.0988E-02   4.7948E-01   9.6110E-01   4.8621E-01
   1.3400E+00   3.2837E-02   4.8977E-01   9.6322E-01   4.9313E-01
   1.3500E+00   3.4761E-02   5.0000E-01   9.6524E-01   5.0000E-01
   1.3600E+00   3.6762E-02   5.1015E-01   9.6715E-01   5.0682E-01
   1.3700E+00   3.8841E-02   5.2022E-01   9.6896E-01   5.1358E-01
   1.3800E+00   4.0998E-02   5.3021E-01   9.7067E-01   5.2030E-01
   1.3900E+00   4.3235E-02   5.4010E-01   9.7230E-01   5.2695E-01
   1.4000E+00   4.5552E-02   5.4990E-01   9.7384E-01   5.3356E-01
   1.4100E+00   4.7950E-02   5.5960E-01   9.7529E-01   5.4010E-01
   1.4200E+00   5.0431E-02   5.6919E-01   9.7667E-01   5.4659E-01
   1.4300E+00   5.2994E-02   5.7868E-01   9.7797E-01   5.5303E-01
