      Acc.(g)          P05          P50          P95        PMEAN
   7.7000E-01   4.6591E-06   1.3149E-03   5.2634E-02   1.0249E-02
   7.8000E-01   5.0116E-06   1.3232E-03   5.1899E-02   1.0198E-02
   7.9000E-01   5.4503E-06   1.2749E-03   5.1541E-02   1.0121E-02
   8.0000E-01   5.7372E-06   1.2486E-03   5.0859E-02   1.0020E-02
   8.1000E-01   5.9978E-06   1.2620E-03   4.9242E-02   9.8952E-03
   8.2000E-01   5.8416E-06   1.2498E-03   4.7961E-02   9.7486E-03
   8.3000E-01   5.9817E-06   1.2418E-03   4.7194E-02   9.5818E-03
   8.4000E-01   5.6990E-06   1.2150E-03   4.6460E-02   9.3966E-03
   8.5000E-01   5.6972E-06   1.1604E-03   4.8031E-02   9.1947E-03
   8.6000E-01   5.6448E-06   1.1096E-03   4.8553E-02   8.9778E-03
   8.7000E-01   5.6557E-06   1.0900E-03   4.6275E-02   8.7477E-03
   8.8000E-01   5.6195E-06   1.0441E-03   4.3125E-02   8.5061E-03
   8.9000E-01   5.0432E-06   9.8457E-04   4.0234E-02   8.2548E-03
   9.0000E-01   4.5611E-06   9.5311E-04   3.8305E-02   7.9953E-03
   9.1000E-01   4.3439E-06   9.2583E-04   3.5505E-02   7.7292E-03
   9.2000E-01   4.3558E-06   8.8388E-04   3.3825E-02   7.4582E-03
   9.3000E-01   4.5450E-06   8.3337E-04   3.2839E-02   7.1836E-03
   9.4000E-01   4.0709E-06   7.9263E-04   3.2230E-02   6.9069E-03
   9.5000E-01   3.7650E-06   7.3987E-04   3.1008E-02   6.6293E-03
   9.6000E-01   3.7280E-06   6.8991E-04   3.0240E-02   6.3521E-03
   9.7000E-01   3.4777E-06   6.3829E-04   2.8524E-02   6.0764E-03
   9.8000E-01   3.2698E-06   5.9766E-04   2.6751E-02   5.8031E-03
   9.9000E-01   3.1117E-06   5.6362E-04   2.5551E-02   5.5333E-03
   1.0000E+00   2.8889E-06   5.3116E-04   2.4120E-02   5.2678E-03
   1.0100E+00   2.6981E-06   4.8894E-04   2.3135E-02   5.0073E-03
   1.0200E+00   2.4109E-06   4.4807E-04   2.1691E-02   4.7526E-03
   1.0300E+00   2.2473E-06   4.1789E-04   2.0189E-02   4.5041E-03
   1.0400E+00   2.0646E-06   3.8467E-04   1.8941E-02   4.2624E-03
   1.0500E+00   1.8102E-06   3.6006E-04   1.7961E-02   4.0279E-03
   1.0600E+00   1.6783E-06   3.3778E-04   1.6961E-02   3.8010E-03
   1.0700E+00   1.5536E-06   3.1195E-04   1.5679E-02   3.5819E-03
   1.0800E+00   1.4688E-06   2.7789E-04   1.4501E-02   3.3709E-03
   1.0900E+00   1.3351E-06   2.4649E-04   1.3696E-02   3.1681E-03
   1.1000E+00   1.1492E-06   2.2057E-04   1.2843E-02   2.9736E-03
