      Acc.(g)          P05          P50          P95        PMEAN
   1.0000E-01   6.9126E-27   8.8361E-20   7.8038E-14   6.1446E-12
   1.1000E-01   2.0092E-25   1.5311E-18   8.0785E-13   3.9469E-11
   1.2000E-01   3.9907E-24   1.8971E-17   6.2573E-12   1.9887E-10
   1.3000E-01   5.7964E-23   1.7856E-16   3.8247E-11   8.2300E-10
   1.4000E-01   6.4835E-22   1.3369E-15   1.9210E-10   2.8965E-09
   1.5000E-01   5.8143E-21   8.2529E-15   8.1808E-10   8.9048E-09
   1.6000E-01   4.3163E-20   4.3211E-14   3.0278E-09   2.4425E-08
   1.7000E-01   2.7216E-19   1.9632E-13   9.9347E-09   6.0788E-08
   1.8000E-01   1.4885E-18   7.8842E-13   2.9368E-08   1.3915E-07
   1.9000E-01   7.1845E-18   2.8421E-12   7.9255E-08   2.9626E-07
   2.0000E-01   3.1052E-17   9.3135E-12   1.9743E-07   5.9207E-07
   2.1000E-01   1.2164E-16   2.8044E-11   4.5821E-07   1.1192E-06
   2.2000E-01   4.3640E-16   7.8297E-11   9.9849E-07   2.0142E-06
   2.3000E-01   1.4466E-15   2.0426E-10   2.0567E-06   3.4696E-06
   2.4000E-01   4.4642E-15   5.0125E-10   4.0273E-06   5.7476E-06
   2.5000E-01   1.2911E-14   1.1637E-09   7.5340E-06   9.1923E-06
   2.6000E-01   3.5196E-14   2.5684E-09   1.3523E-05   1.4243E-05
   2.7000E-01   9.0891E-14   5.4134E-09   2.3378E-05   2.1442E-05
   2.8000E-01   2.2334E-13   1.0937E-08   3.9049E-05   3.1447E-05
   2.9000E-01   5.2421E-13   2.1209E-08   6.3208E-05   4.5030E-05
   3.0000E-01   1.1794E-12   3.9734E-08   9.9277E-05   6.3082E-05
   3.1000E-01   2.5512E-12   7.2136E-08   1.5123E-04   8.6606E-05
   3.2000E-01   5.3208E-12   1.2328E-07   2.2464E-04   1.1671E-04
   3.3000E-01   1.0725E-11   2.1093E-07   3.2598E-04   1.5460E-04
   3.4000E-01   2.0940E-11   3.5222E-07   4.6285E-04   2.0154E-04
   3.5000E-01   3.9679E-11   5.7370E-07   6.4396E-04   2.5888E-04
   3.6000E-01   7.3105E-11   9.1031E-07   8.7907E-04   3.2795E-04
   3.7000E-01   1.3117E-10   1.4109E-06   1.1788E-03   4.1014E-04
   3.8000E-01   2.2953E-10   2.1020E-06   1.4904E-03   5.0676E-04
   3.9000E-01   3.9226E-10   3.1186E-06   1.9250E-03   6.1911E-04
   4.0000E-01   6.5548E-10   4.4271E-06   2.4732E-03   7.4837E-04
   4.1000E-01   1.0331E-09   6.3229E-06   3.1331E-03   8.9562E-04
   4.2000E-01   1.5699E-09   8.9046E-06   3.8913E-03   1.0618E-03
   4.3000E-01   2.4040E-09   1.2263E-05   4.7695E-03   1.2476E-03
   4.4000E-01   3.6767E-09   1.6227E-05   5.8680E-03   1.4536E-03
   4.5000E-01   5.5191E-09   2.1709E-05   6.7382E-03   1.6800E-03
   4.6000E-01   8.1374E-09   2.8653E-05   7.8853E-03   1.9270E-03
   4.7000E-01   1.1830E-08   3.6854E-05   8.8249E-03   2.1943E-03
   4.8000E-01   1.7133E-08   4.6786E-05   1.0027E-02   2.4814E-03
   4.9000E-01   2.4450E-08   5.9340E-05   1.1617E-02   2.7874E-03
   5.0000E-01   3.4383E-08   7.4288E-05   1.3269E-02   3.1113E-03
   5.1000E-01   4.5257E-08   9.3043E-05   1.5428E-02   3.4516E-03
   5.2000E-01   6.2015E-08   1.1475E-04   1.7588E-02   3.8066E-03
   5.3000E-01   8.3833E-08   1.4019E-04   1.9389E-02   4.1744E-03
   5.4000E-01   1.1203E-07   1.7329E-04   2.0248E-02   4.5526E-03
   5.5000E-01   1.4792E-07   2.0999E-04   2.2167E-02   4.9389E-03
   5.6000E-01   1.9074E-07   2.5360E-04   2.4791E-02   5.3305E-03
   5.7000E-01   2.4212E-07   2.9284E-04   2.6908E-02   5.7246E-03
   5.8000E-01   3.0389E-07   3.3557E-04   2.8959E-02   6.1185E-03
   5.9000E-01   3.8751E-07   3.9300E-04   3.1071E-02   6.5090E-03
   6.0000E-01   4.8723E-07   4.4052E-04   3.3819E-02   6.8931E-03
   6.1000E-01   5.8263E-07   4.8966E-04   3.6935E-02   7.2680E-03
   6.2000E-01   7.0971E-07   5.3329E-04   3.8845E-02   7.6307E-03
   6.3000E-01   8.6256E-07   5.8933E-04   4.0511E-02   7.9784E-03
   6.4000E-01   1.0414E-06   6.6269E-04   4.2873E-02   8.3085E-03
   6.5000E-01   1.1997E-06   7.2936E-04   4.3960E-02   8.6186E-03
   6.6000E-01   1.4308E-06   8.0022E-04   4.5928E-02   8.9064E-03
   6.7000E-01   1.6487E-06   8.7102E-04   4.7075E-02   9.1701E-03
   6.8000E-01   1.8737E-06   9.4311E-04   4.9394E-02   9.4079E-03
   6.9000E-01   2.1678E-06   1.0101E-03   4.9410E-02   9.6184E-03
   7.0000E-01   2.4896E-06   1.0693E-03   5.0185E-02   9.8005E-03
   7.1000E-01   2.7874E-06   1.0925E-03   5.1200E-02   9.9535E-03
   7.2000E-01   3.1041E-06   1.1247E-03   5.0451E-02   1.0077E-02
   7.3000E-01   3.4671E-06   1.1734E-03   5.1793E-02   1.0170E-02
   7.4000E-01   3.8488E-06   1.1980E-03   5.2526E-02   1.0233E-02
   7.5000E-01   4.2504E-06   1.2506E-03   5.3966E-02   1.0267E-02
   7.6000E-01   4.4649E-06   1.2766E-03   5.3951E-02   1.0272E-02
