      Acc.(g)          P05          P50          P95        PMEAN
   1.0000E-01   5.0364E-16   6.3988E-11   6.7240E-07   1.3069E-06
   1.1000E-01   4.7548E-15   3.8929E-10   2.6482E-06   3.7341E-06
   1.2000E-01   3.4507E-14   1.8926E-09   8.6648E-06   9.2535E-06
   1.3000E-01   2.0185E-13   7.6619E-09   2.4393E-05   2.0461E-05
   1.4000E-01   9.8667E-13   2.6650E-08   6.0670E-05   4.1231E-05
   1.5000E-01   4.1452E-12   8.1598E-08   1.3606E-04   7.6955E-05
   1.6000E-01   1.5304E-11   2.2417E-07   2.7960E-04   1.3471E-04
   1.7000E-01   5.0544E-11   5.6114E-07   5.3327E-04   2.2335E-04
   1.8000E-01   1.5153E-10   1.2959E-06   9.5381E-04   3.5356E-04
   1.9000E-01   4.1735E-10   2.7894E-06   1.6136E-03   5.3774E-04
   2.0000E-01   1.0666E-09   5.6444E-06   2.6001E-03   7.8993E-04
   2.1000E-01   2.5508E-09   1.0814E-05   4.0142E-03   1.1256E-03
   2.2000E-01   5.7492E-09   1.9734E-05   5.9677E-03   1.5614E-03
   2.3000E-01   1.2287E-08   3.4483E-05   8.5789E-03   2.1151E-03
   2.4000E-01   2.5031E-08   5.7947E-05   1.1969E-02   2.8048E-03
   2.5000E-01   4.8828E-08   9.4012E-05   1.6255E-02   3.6492E-03
   2.6000E-01   9.1571E-08   1.4774E-04   2.1551E-02   4.6670E-03
   2.7000E-01   1.6567E-07   2.2555E-04   2.7956E-02   5.8766E-03
   2.8000E-01   2.9003E-07   3.3537E-04   3.5555E-02   7.2960E-03
   2.9000E-01   4.9267E-07   4.8678E-04   4.4418E-02   8.9422E-03
   3.0000E-01   8.1394E-07   6.9109E-04   5.4591E-02   1.0832E-02
   3.1000E-01   1.3107E-06   9.6139E-04   6.6102E-02   1.2979E-02
   3.2000E-01   2.0611E-06   1.3126E-03   7.8957E-02   1.5398E-02
   3.3000E-01   3.1705E-06   1.7613E-03   9.3138E-02   1.8101E-02
   3.4000E-01   4.7783E-06   2.3258E-03   1.0861E-01   2.1098E-02
   3.5000E-01   7.0651E-06   3.0259E-03   1.2532E-01   2.4398E-02
   3.6000E-01   1.0262E-05   3.8826E-03   1.4319E-01   2.8008E-02
   3.7000E-01   1.4657E-05   4.9183E-03   1.6213E-01   3.1932E-02
   3.8000E-01   2.0611E-05   6.1558E-03   1.8205E-01   3.6175E-02
   3.9000E-01   2.8559E-05   7.6187E-03   2.0283E-01   4.0738E-02
   4.0000E-01   3.9026E-05   9.3308E-03   2.2435E-01   4.5621E-02
   4.1000E-01   5.2637E-05   1.1316E-02   2.4649E-01   5.0821E-02
   4.2000E-01   7.0122E-05   1.3594E-02   2.6911E-01   5.6334E-02
   4.3000E-01   9.2330E-05   1.6179E-02   2.9208E-01   6.2156E-02
   4.4000E-01   1.2023E-04   1.9096E-02   3.1527E-01   6.8279E-02
