      Acc.(g)          P05          P50          P95        PMEAN
   4.5000E-01   1.5492E-04   2.2362E-02   3.3854E-01   7.4695E-02
   4.6000E-01   1.9834E-04   2.5994E-02   3.6177E-01   8.1394E-02
   4.7000E-01   2.5161E-04   3.0031E-02   3.8483E-01   8.8364E-02
   4.8000E-01   3.1644E-04   3.4500E-02   4.0791E-01   9.5594E-02
   4.9000E-01   3.9470E-04   3.9322E-02   4.3115E-01   1.0307E-01
   5.0000E-01   4.8849E-04   4.4493E-02   4.5403E-01   1.1078E-01
   5.1000E-01   6.0008E-04   5.0043E-02   4.7690E-01   1.1870E-01
   5.2000E-01   7.3197E-04   5.5722E-02   4.9937E-01   1.2683E-01
   5.3000E-01   8.8682E-04   6.1900E-02   5.2134E-01   1.3514E-01
   5.4000E-01   1.0657E-03   6.8588E-02   5.4274E-01   1.4361E-01
   5.5000E-01   1.2664E-03   7.5333E-02   5.6354E-01   1.5223E-01
   5.6000E-01   1.4954E-03   8.2179E-02   5.8367E-01   1.6099E-01
   5.7000E-01   1.7553E-03   8.9986E-02   6.0310E-01   1.6986E-01
   5.8000E-01   2.0485E-03   9.8459E-02   6.2160E-01   1.7882E-01
   5.9000E-01   2.3775E-03   1.0732E-01   6.3804E-01   1.8785E-01
   6.0000E-01   2.7559E-03   1.1656E-01   6.5381E-01   1.9695E-01
   6.1000E-01   3.1963E-03   1.2598E-01   6.6698E-01   2.0608E-01
   6.2000E-01   3.6903E-03   1.3578E-01   6.8229E-01   2.1523E-01
   6.3000E-01   4.2420E-03   1.4547E-01   6.9713E-01   2.2439E-01
   6.4000E-01   4.8556E-03   1.5533E-01   7.1070E-01   2.3353E-01
   6.5000E-01   5.5356E-03   1.6405E-01   7.2216E-01   2.4264E-01
   6.6000E-01   6.2863E-03   1.7451E-01   7.3543E-01   2.5170E-01
   6.7000E-01   7.1120E-03   1.8530E-01   7.4865E-01   2.6069E-01
   6.8000E-01   8.0171E-03   1.9598E-01   7.5717E-01   2.6961E-01
   6.9000E-01   9.0059E-03   2.0731E-01   7.6673E-01   2.7842E-01
   7.0000E-01   9.8511E-03   2.1856E-01   7.7663E-01   2.8713E-01
   7.1000E-01   1.0853E-02   2.2945E-01   7.8873E-01   2.9571E-01
   7.2000E-01   1.1908E-02   2.3969E-01   8.0024E-01   3.0416E-01
   7.3000E-01   1.3024E-02   2.5099E-01   8.0457E-01   3.1245E-01
   7.4000E-01   1.4374E-02   2.6189E-01   8.1188E-01   3.2058E-01
   7.5000E-01   1.5860E-02   2.7293E-01   8.1834E-01   3.2853E-01
   7.6000E-01   1.7193E-02   2.8384E-01   8.2232E-01   3.3631E-01
   7.7000E-01   1.8428E-02   2.9585E-01   8.3048E-01   3.4388E-01
   7.8000E-01   2.0178E-02   3.0421E-01   8.3705E-01   3.5126E-01
   7.9000E-01   2.2038E-02   3.1267E-01   8.4440E-01   3.5842E-01
   8.0000E-01   2.3004E-02   3.2028E-01   8.4890E-01   3.6537E-01
   8.1000E-01   2.4750E-02   3.3226E-01   8.5348E-01   3.7208E-01
   8.2000E-01   2.5870E-02   3.4149E-01   8.5470E-01   3.7857E-01
   8.3000E-01   2.8051E-02   3.4924E-01   8.5793E-01   3.8482E-01
   8.4000E-01   2.9515E-02   3.5402E-01   8.5714E-01   3.9082E-01
   8.5000E-01   3.0983E-02   3.6480E-01   8.5912E-01   3.9658E-01
   8.6000E-01   3.2767E-02   3.7103E-01   8.6087E-01   4.0209E-01
   8.7000E-01   3.5006E-02   3.7434E-01   8.6373E-01   4.0735E-01
   8.8000E-01   3.7321E-02   3.7997E-01   8.6835E-01   4.1235E-01
   8.9000E-01   3.8350E-02   3.8682E-01   8.7422E-01   4.1710E-01
   9.0000E-01   3.9506E-02   3.9211E-01   8.7898E-01   4.2158E-01
   9.1000E-01   4.1220E-02   3.9652E-01   8.7866E-01   4.2581E-01
   9.2000E-01   4.2533E-02   3.9783E-01   8.8064E-01   4.2978E-01
   9.3000E-01   4.4463E-02   4.0204E-01   8.8112E-01   4.3349E-01
   9.4000E-01   4.5777E-02   4.0836E-01   8.8272E-01   4.3695E-01
   9.5000E-01   4.8066E-02   4.1625E-01   8.8609E-01   4.4015E-01
   9.6000E-01   4.9451E-02   4.2127E-01   8.8714E-01   4.4309E-01
   9.7000E-01   5.1639E-02   4.2336E-01   8.9124E-01   4.4578E-01
   9.8000E-01   5.2047E-02   4.3052E-01   8.9589E-01   4.4823E-01
   9.9000E-01   5.2282E-02   4.3535E-01   8.9970E-01   4.5042E-01
   1.0000E+00   5.2403E-02   4.3550E-01   9.0058E-01   4.5238E-01
   1.0100E+00   5.1603E-02   4.3957E-01   9.0207E-01   4.5409E-01
   1.0200E+00   5.2098E-02   4.4085E-01   9.0329E-01   4.5557E-01
   1.0300E+00   5.2118E-02   4.4602E-01   9.0342E-01   4.5681E-01
   1.0400E+00   5.4262E-02   4.4747E-01   9.0669E-01   4.5783E-01
   1.0500E+00   5.5047E-02   4.4536E-01   9.0681E-01   4.5863E-01
   1.0600E+00   5.4952E-02   4.4920E-01   9.0562E-01   4.5920E-01
   1.0700E+00   5.3851E-02   4.5047E-01   9.0627E-01   4.5957E-01
   1.0800E+00   5.1487E-02   4.4650E-01   9.0671E-01   4.5972E-01
   1.0900E+00   5.0208E-02   4.4313E-01   9.0620E-01   4.5967E-01
   1.1000E+00   4.9269E-02   4.4316E-01   9.0555E-01   4.5943E-01
   1.1100E+00   4.8023E-02   4.4246E-01   9.0301E-01   4.5899E-01
   1.1200E+00   4.9546E-02   4.4367E-01   9.0484E-01   4.5836E-01
   1.1300E+00   5.0956E-02   4.4150E-01   9.0741E-01   4.5755E-01
   1.1400E+00   5.0155E-02   4.3880E-01   9.0917E-01   4.5657E-01
   1.1500E+00   4.9977E-02   4.3945E-01   9.1185E-01   4.5541E-01
   1.1600E+00   4.7655E-02   4.3893E-01   9.1218E-01   4.5409E-01
   1.1700E+00   4.6443E-02   4.3906E-01   9.1113E-01   4.5261E-01
   1.1800E+00   4.6580E-02   4.3482E-01   9.1079E-01   4.5097E-01
   1.1900E+00   4.5052E-02   4.3110E-01   9.0923E-01   4.4919E-01
   1.2000E+00   4.4359E-02   4.2916E-01   9.0823E-01   4.4727E-01
   1.2100E+00   4.2991E-02   4.2940E-01   9.0725E-01   4.4521E-01
   1.2200E+00   4.1468E-02   4.2895E-01   9.0637E-01   4.4301E-01
   1.2300E+00   3.9507E-02   4.2538E-01   9.0515E-01   4.4070E-01
   1.2400E+00   3.8029E-02   4.2102E-01   9.0375E-01   4.3826E-01
   1.2500E+00   3.7073E-02   4.1461E-01   9.0462E-01   4.3570E-01
   1.2600E+00   3.6728E-02   4.1209E-01   9.0355E-01   4.3304E-01
   1.2700E+00   3.5591E-02   4.0805E-01   9.0258E-01   4.3027E-01
   1.2800E+00   3.3949E-02   4.0585E-01   9.0208E-01   4.2740E-01
   1.2900E+00   3.2824E-02   4.0013E-01   9.0068E-01   4.2444E-01
   1.3000E+00   3.1277E-02   3.9586E-01   8.9838E-01   4.2139E-01
   1.3100E+00   2.9790E-02   3.9161E-01   8.9795E-01   4.1826E-01
   1.3200E+00   2.8577E-02   3.8777E-01   8.9756E-01   4.1504E-01
   1.3300E+00   2.7126E-02   3.8242E-01   8.9497E-01   4.1175E-01
   1.3400E+00   2.5780E-02   3.7858E-01   8.9176E-01   4.0839E-01
   1.3500E+00   2.4696E-02   3.7319E-01   8.9173E-01   4.0497E-01
   1.3600E+00   2.3645E-02   3.6700E-01   8.9154E-01   4.0148E-01
   1.3700E+00   2.2628E-02   3.6236E-01   8.8932E-01   3.9793E-01
   1.3800E+00   2.1644E-02   3.5942E-01   8.8585E-01   3.9434E-01
   1.3900E+00   2.0694E-02   3.5436E-01   8.8240E-01   3.9069E-01
   1.4000E+00   1.9631E-02   3.5367E-01   8.7892E-01   3.8700E-01
   1.4100E+00   1.8615E-02   3.4865E-01   8.7602E-01   3.8327E-01
   1.4200E+00   1.8001E-02   3.4372E-01   8.7505E-01   3.7949E-01
   1.4300E+00   1.7200E-02   3.3729E-01   8.7193E-01   3.7569E-01
   1.4400E+00   1.6287E-02   3.3143E-01   8.6864E-01   3.7186E-01
   1.4500E+00   1.5420E-02   3.2750E-01   8.6551E-01   3.6799E-01
   1.4600E+00   1.4597E-02   3.2128E-01   8.6286E-01   3.6411E-01
   1.4700E+00   1.3814E-02   3.1519E-01   8.5909E-01   3.6020E-01
   1.4800E+00   1.3072E-02   3.1120E-01   8.5727E-01   3.5628E-01
   1.4900E+00   1.2322E-02   3.0458E-01   8.5341E-01   3.5234E-01
   1.5000E+00   1.1604E-02   3.0048E-01   8.4963E-01   3.4839E-01
   1.5100E+00   1.0927E-02   2.9492E-01   8.4771E-01   3.4443E-01
   1.5200E+00   1.0288E-02   2.8778E-01   8.4562E-01   3.4046E-01
   1.5300E+00   9.6865E-03   2.8152E-01   8.4423E-01   3.3649E-01
   1.5400E+00   9.2168E-03   2.7580E-01   8.4127E-01   3.3252E-01
   1.5500E+00   8.8471E-03   2.6973E-01   8.3676E-01   3.2854E-01
   1.5600E+00   8.5332E-03   2.6522E-01   8.3213E-01   3.2457E-01
   1.5700E+00   8.1358E-03   2.6023E-01   8.2960E-01   3.2061E-01
   1.5800E+00   7.7543E-03   2.5525E-01   8.2878E-01   3.1665E-01
   1.5900E+00   7.3260E-03   2.4909E-01   8.2527E-01   3.1270E-01
   1.6000E+00   6.9179E-03   2.4394E-01   8.2051E-01   3.0877E-01
   1.6100E+00   6.5316E-03   2.3820E-01   8.1865E-01   3.0484E-01
   1.6200E+00   6.1661E-03   2.3332E-01   8.1580E-01   3.0093E-01
   1.6300E+00   5.8204E-03   2.2733E-01   8.1210E-01   2.9703E-01
   1.6400E+00   5.4934E-03   2.2219E-01   8.1084E-01   2.9315E-01
   1.6500E+00   5.1842E-03   2.1693E-01   8.0884E-01   2.8930E-01
   1.6600E+00   4.9045E-03   2.1183E-01   8.0489E-01   2.8546E-01
   1.6700E+00   4.6559E-03   2.0627E-01   8.0148E-01   2.8164E-01
   1.6800E+00   4.4191E-03   2.0176E-01   7.9912E-01   2.7784E-01
   1.6900E+00   4.1936E-03   1.9820E-01   7.9559E-01   2.7407E-01
   1.7000E+00   3.9927E-03   1.9367E-01   7.9105E-01   2.7032E-01
   1.7100E+00   3.8072E-03   1.8857E-01   7.8625E-01   2.6660E-01
   1.7200E+00   3.6168E-03   1.8340E-01   7.8136E-01   2.6291E-01
   1.7300E+00   3.4135E-03   1.7872E-01   7.7674E-01   2.5924E-01
   1.7400E+00   3.2214E-03   1.7442E-01   7.7341E-01   2.5560E-01
   1.7500E+00   3.0399E-03   1.7013E-01   7.6998E-01   2.5199E-01
   1.7600E+00   2.8684E-03   1.6629E-01   7.6670E-01   2.4841E-01
   1.7700E+00   2.7065E-03   1.6163E-01   7.6527E-01   2.4487E-01
   1.7800E+00   2.5535E-03   1.5754E-01   7.6037E-01   2.4135E-01
   1.7900E+00   2.4091E-03   1.5424E-01   7.5524E-01   2.3786E-01
   1.8000E+00   2.2727E-03   1.5126E-01   7.4980E-01   2.3441E-01
   1.8100E+00   2.1439E-03   1.4819E-01   7.4388E-01   2.3099E-01
   1.8200E+00   2.0223E-03   1.4433E-01   7.3826E-01   2.2761E-01
   1.8300E+00   1.9075E-03   1.4044E-01   7.3515E-01   2.2425E-01
   1.8400E+00   1.7992E-03   1.3636E-01   7.3067E-01   2.2094E-01
   1.8500E+00   1.6977E-03   1.3239E-01   7.2518E-01   2.1765E-01
   1.8600E+00   1.6015E-03   1.2851E-01   7.1954E-01   2.1440E-01
   1.8700E+00   1.5094E-03   1.2482E-01   7.1383E-01   2.1119E-01
   1.8800E+00   1.4434E-03   1.2134E-01   7.0808E-01   2.0801E-01
   1.8900E+00   1.3826E-03   1.1774E-01   7.0227E-01   2.0487E-01
   1.9000E+00   1.3121E-03   1.1477E-01   6.9641E-01   2.0176E-01
   1.9100E+00   1.2375E-03   1.1135E-01   6.9227E-01   1.9869E-01
   1.9200E+00   1.1671E-03   1.0808E-01   6.8711E-01   1.9565E-01
   1.9300E+00   1.1007E-03   1.0497E-01   6.8108E-01   1.9265E-01
   1.9400E+00   1.0380E-03   1.0194E-01   6.7503E-01   1.8969E-01
   1.9500E+00   9.7894E-04   9.8926E-02   6.6981E-01   1.8676E-01
   1.9600E+00   9.2319E-04   9.5893E-02   6.6469E-01   1.8386E-01
   1.9700E+00   8.7060E-04   9.2944E-02   6.5848E-01   1.8101E-01
   1.9800E+00   8.2101E-04   9.0164E-02   6.5451E-01   1.7818E-01
   1.9900E+00   7.7423E-04   8.7463E-02   6.4883E-01   1.7540E-01
   2.0000E+00   7.3011E-04   8.4834E-02   6.4269E-01   1.7265E-01
