#S1SEISMIC-1        
--------------------------------------------------------
    Acc.   Failure_P   Cont.(%)        Cumul.  Cumul.(%)
   0.665  8.1010E-09     1.281%    1.8546E-07    29.337%
   0.675  8.2173E-09     1.300%    1.9367E-07    30.637%
   0.685  8.3182E-09     1.316%    2.0199E-07    31.953%
   0.695  8.4037E-09     1.329%    2.1040E-07    33.282%
   0.705  8.4741E-09     1.341%    2.1887E-07    34.623%
   0.715  8.5295E-09     1.349%    2.2740E-07    35.972%
   0.725  8.5702E-09     1.356%    2.3597E-07    37.327%
   0.735  8.5965E-09     1.360%    2.4457E-07    38.687%
   0.745  8.6088E-09     1.362%    2.5317E-07    40.049%
   0.755  7.4396E-09     1.177%    2.6061E-07    41.226%
   0.765  7.4856E-09     1.184%    2.6810E-07    42.410%
   0.775  7.5208E-09     1.190%    2.7562E-07    43.600%
   0.785  7.5455E-09     1.194%    2.8317E-07    44.793%
   0.795  7.5599E-09     1.196%    2.9073E-07    45.989%
   0.805  7.5643E-09     1.197%    2.9829E-07    47.186%
   0.815  7.5590E-09     1.196%    3.0585E-07    48.382%
   0.825  7.5443E-09     1.193%    3.1339E-07    49.575%
   0.835  7.5206E-09     1.190%    3.2091E-07    50.765%
   0.845  7.4883E-09     1.185%    3.2840E-07    51.949%
   0.855  7.4477E-09     1.178%    3.3585E-07    53.127%
   0.865  7.3993E-09     1.170%    3.4325E-07    54.298%
   0.875  7.3434E-09     1.162%    3.5059E-07    55.459%
   0.885  7.2805E-09     1.152%    3.5787E-07    56.611%
   0.895  7.2110E-09     1.141%    3.6508E-07    57.752%
   0.905  7.1352E-09     1.129%    3.7222E-07    58.881%
   0.915  7.0537E-09     1.116%    3.7927E-07    59.996%
   0.925  6.9668E-09     1.102%    3.8624E-07    61.098%
   0.935  6.8750E-09     1.088%    3.9311E-07    62.186%
   0.945  6.7786E-09     1.072%    3.9989E-07    63.258%
   0.955  6.6780E-09     1.056%    4.0657E-07    64.315%
   0.965  6.5736E-09     1.040%    4.1314E-07    65.355%
   0.975  6.4657E-09     1.023%    4.1961E-07    66.377%
   0.985  6.3549E-09     1.005%    4.2597E-07    67.383%
   0.995  6.2413E-09     0.987%    4.3221E-07    68.370%
   1.005  6.1254E-09     0.969%    4.3833E-07    69.339%
   1.015  6.0074E-09     0.950%    4.4434E-07    70.289%
   1.025  5.8878E-09     0.931%    4.5023E-07    71.221%
   1.035  5.7667E-09     0.912%    4.5599E-07    72.133%
   1.045  5.6445E-09     0.893%    4.6164E-07    73.026%
   1.055  5.5214E-09     0.873%    4.6716E-07    73.899%
   1.065  5.3978E-09     0.854%    4.7256E-07    74.753%
   1.075  5.2738E-09     0.834%    4.7783E-07    75.587%
   1.085  5.1497E-09     0.815%    4.8298E-07    76.402%
   1.095  5.0257E-09     0.795%    4.8801E-07    77.197%
   1.105  4.9020E-09     0.775%    4.9291E-07    77.972%
   1.115  4.7789E-09     0.756%    4.9769E-07    78.728%
   1.125  4.6564E-09     0.737%    5.0234E-07    79.465%
   1.135  4.5348E-09     0.717%    5.0688E-07    80.182%
   1.145  4.4142E-09     0.698%    5.1129E-07    80.880%
   1.155  4.2947E-09     0.679%    5.1559E-07    81.560%
   1.165  4.1766E-09     0.661%    5.1976E-07    82.220%
   1.175  4.0598E-09     0.642%    5.2382E-07    82.863%
   1.185  3.9446E-09     0.624%    5.2777E-07    83.487%
   1.195  3.8310E-09     0.606%    5.3160E-07    84.093%
   1.205  3.7191E-09     0.588%    5.3532E-07    84.681%
   1.215  3.6090E-09     0.571%    5.3893E-07    85.252%
   1.225  3.5007E-09     0.554%    5.4243E-07    85.806%
   1.235  3.3944E-09     0.537%    5.4582E-07    86.343%
   1.245  3.2901E-09     0.520%    5.4911E-07    86.863%
   1.255  3.1877E-09     0.504%    5.5230E-07    87.367%
   1.265  3.0875E-09     0.488%    5.5539E-07    87.856%
   1.275  2.9893E-09     0.473%    5.5838E-07    88.329%
   1.285  2.8933E-09     0.458%    5.6127E-07    88.786%
   1.295  2.7994E-09     0.443%    5.6407E-07    89.229%
   1.305  2.7076E-09     0.428%    5.6678E-07    89.657%
   1.315  2.6181E-09     0.414%    5.6940E-07    90.072%
   1.325  2.5306E-09     0.400%    5.7193E-07    90.472%
   1.335  2.4454E-09     0.387%    5.7437E-07    90.859%
   1.345  2.3623E-09     0.374%    5.7673E-07    91.232%
   1.355  2.2814E-09     0.361%    5.7902E-07    91.593%
   1.365  2.2026E-09     0.348%    5.8122E-07    91.942%
   1.375  2.1260E-09     0.336%    5.8334E-07    92.278%
   1.385  2.0515E-09     0.325%    5.8540E-07    92.603%
   1.395  1.9790E-09     0.313%    5.8737E-07    92.916%
   1.405  1.9086E-09     0.302%    5.8928E-07    93.218%
   1.415  1.8403E-09     0.291%    5.9112E-07    93.509%
   1.425  1.7739E-09     0.281%    5.9290E-07    93.789%
   1.435  1.7095E-09     0.270%    5.9461E-07    94.060%
   1.445  1.6471E-09     0.261%    5.9625E-07    94.320%
   1.455  1.5866E-09     0.251%    5.9784E-07    94.571%
   1.465  1.5280E-09     0.242%    5.9937E-07    94.813%
   1.475  1.4712E-09     0.233%    6.0084E-07    95.046%
   1.485  1.4162E-09     0.224%    6.0226E-07    95.270%
   1.495  1.3630E-09     0.216%    6.0362E-07    95.485%
   1.505  1.3115E-09     0.207%    6.0493E-07    95.693%
   1.515  1.2617E-09     0.200%    6.0619E-07    95.892%
   1.525  1.2135E-09     0.192%    6.0741E-07    96.084%
   1.535  1.1670E-09     0.185%    6.0857E-07    96.269%
   1.545  1.1220E-09     0.177%    6.0969E-07    96.446%
   1.555  1.0785E-09     0.171%    6.1077E-07    96.617%
   1.565  1.0366E-09     0.164%    6.1181E-07    96.781%
   1.575  9.9611E-10     0.158%    6.1281E-07    96.939%
   1.585  9.5703E-10     0.151%    6.1376E-07    97.090%
   1.595  9.1933E-10     0.145%    6.1468E-07    97.235%
   1.605  8.8297E-10     0.140%    6.1557E-07    97.375%
   1.615  8.4791E-10     0.134%    6.1641E-07    97.509%
   1.625  8.1411E-10     0.129%    6.1723E-07    97.638%
   1.635  7.8153E-10     0.124%    6.1801E-07    97.762%
   1.645  7.5015E-10     0.119%    6.1876E-07    97.880%
   1.655  7.1992E-10     0.114%    6.1948E-07    97.994%
   1.665  6.9080E-10     0.109%    6.2017E-07    98.103%
   1.675  6.6277E-10     0.105%    6.2083E-07    98.208%
   1.685  6.3578E-10     0.101%    6.2147E-07    98.309%
   1.695  6.0981E-10     0.096%    6.2208E-07    98.405%
   1.705  5.8483E-10     0.093%    6.2266E-07    98.498%
   1.715  5.6079E-10     0.089%    6.2322E-07    98.587%
   1.725  5.3767E-10     0.085%    6.2376E-07    98.672%
   1.735  5.1544E-10     0.082%    6.2428E-07    98.753%
   1.745  4.9407E-10     0.078%    6.2477E-07    98.831%
   1.755  4.7352E-10     0.075%    6.2524E-07    98.906%
   1.765  4.5378E-10     0.072%    6.2570E-07    98.978%
   1.775  4.3481E-10     0.069%    6.2613E-07    99.047%
   1.785  4.1659E-10     0.066%    6.2655E-07    99.113%
   1.795  3.9908E-10     0.063%    6.2695E-07    99.176%
   1.805  3.8227E-10     0.060%    6.2733E-07    99.236%
   1.815  3.6613E-10     0.058%    6.2770E-07    99.294%
   1.825  3.5063E-10     0.055%    6.2805E-07    99.350%
   1.835  3.3575E-10     0.053%    6.2838E-07    99.403%
   1.845  3.2148E-10     0.051%    6.2870E-07    99.454%
   1.855  3.0778E-10     0.049%    6.2901E-07    99.502%
   1.865  2.9463E-10     0.047%    6.2931E-07    99.549%
   1.875  2.8202E-10     0.045%    6.2959E-07    99.593%
   1.885  2.6993E-10     0.043%    6.2986E-07    99.636%
   1.895  2.5833E-10     0.041%    6.3012E-07    99.677%
   1.905  2.4720E-10     0.039%    6.3036E-07    99.716%
   1.915  2.3654E-10     0.037%    6.3060E-07    99.754%
   1.925  2.2631E-10     0.036%    6.3083E-07    99.789%
   1.935  2.1651E-10     0.034%    6.3104E-07    99.824%
   1.945  2.0712E-10     0.033%    6.3125E-07    99.856%
   1.955  1.9812E-10     0.031%    6.3145E-07    99.888%
   1.965  1.8949E-10     0.030%    6.3164E-07    99.918%
   1.975  1.8123E-10     0.029%    6.3182E-07    99.946%
   1.985  1.7331E-10     0.027%    6.3199E-07    99.974%
   1.995  1.6573E-10     0.026%    6.3216E-07   100.000%
 
 
