#S1SEISMIC-1        
--------------------------------------------------------
    Acc.   Failure_P   Cont.(%)        Cumul.  Cumul.(%)
   1.115  3.0857E-09     0.001%    4.7912E-04    99.993%
   1.125  2.8455E-09     0.001%    4.7912E-04    99.993%
   1.135  2.6235E-09     0.001%    4.7912E-04    99.994%
   1.145  2.4184E-09     0.001%    4.7913E-04    99.994%
   1.155  2.2289E-09     0.000%    4.7913E-04    99.995%
   1.165  2.0539E-09     0.000%    4.7913E-04    99.995%
   1.175  1.8924E-09     0.000%    4.7913E-04    99.995%
   1.185  1.7432E-09     0.000%    4.7913E-04    99.996%
   1.195  1.6056E-09     0.000%    4.7914E-04    99.996%
   1.205  1.4786E-09     0.000%    4.7914E-04    99.996%
   1.215  1.3615E-09     0.000%    4.7914E-04    99.997%
   1.225  1.2534E-09     0.000%    4.7914E-04    99.997%
   1.235  1.1538E-09     0.000%    4.7914E-04    99.997%
   1.245  1.0620E-09     0.000%    4.7914E-04    99.997%
   1.255  9.7731E-10     0.000%    4.7914E-04    99.998%
   1.265  8.9928E-10     0.000%    4.7914E-04    99.998%
   1.275  8.2738E-10     0.000%    4.7914E-04    99.998%
   1.285  7.6114E-10     0.000%    4.7914E-04    99.998%
   1.295  7.0012E-10     0.000%    4.7915E-04    99.998%
   1.305  6.4393E-10     0.000%    4.7915E-04    99.998%
   1.315  5.9218E-10     0.000%    4.7915E-04    99.999%
   1.325  5.4453E-10     0.000%    4.7915E-04    99.999%
   1.335  5.0067E-10     0.000%    4.7915E-04    99.999%
   1.345  4.6030E-10     0.000%    4.7915E-04    99.999%
   1.355  4.2315E-10     0.000%    4.7915E-04    99.999%
   1.365  3.8896E-10     0.000%    4.7915E-04    99.999%
   1.375  3.5750E-10     0.000%    4.7915E-04    99.999%
   1.385  3.2856E-10     0.000%    4.7915E-04    99.999%
   1.395  3.0194E-10     0.000%    4.7915E-04    99.999%
   1.405  2.7745E-10     0.000%    4.7915E-04    99.999%
   1.415  2.5494E-10     0.000%    4.7915E-04    99.999%
   1.425  2.3423E-10     0.000%    4.7915E-04    99.999%
   1.435  2.1519E-10     0.000%    4.7915E-04    99.999%
   1.445  1.9769E-10     0.000%    4.7915E-04   100.000%
   1.455  1.8160E-10     0.000%    4.7915E-04   100.000%
   1.465  1.6681E-10     0.000%    4.7915E-04   100.000%
   1.475  1.5322E-10     0.000%    4.7915E-04   100.000%
   1.485  1.4073E-10     0.000%    4.7915E-04   100.000%
   1.495  1.2925E-10     0.000%    4.7915E-04   100.000%
   1.505  1.1870E-10     0.000%    4.7915E-04   100.000%
   1.515  1.0901E-10     0.000%    4.7915E-04   100.000%
   1.525  1.0010E-10     0.000%    4.7915E-04   100.000%
   1.535  9.1920E-11     0.000%    4.7915E-04   100.000%
   1.545  8.4405E-11     0.000%    4.7915E-04   100.000%
