      Acc.(g)          P05          P50          P95        PMEAN
   1.0000E-01   4.6183E-12   2.3703E-09   1.4677E-06   1.2927E-06
   1.1000E-01   3.3929E-11   1.2817E-08   5.5538E-06   3.9027E-06
   1.2000E-01   2.0015E-10   5.5682E-08   1.7780E-05   1.0137E-05
   1.3000E-01   9.5431E-10   2.0115E-07   4.9146E-05   2.3344E-05
   1.4000E-01   3.7374E-09   6.2276E-07   1.2038E-04   4.8747E-05
   1.5000E-01   1.3363E-08   1.7247E-06   2.5455E-04   9.3903E-05
   1.6000E-01   4.1157E-08   4.2777E-06   5.1314E-04   1.6910E-04
   1.7000E-01   1.1673E-07   9.8461E-06   9.3970E-04   2.8767E-04
   1.8000E-01   2.8830E-07   2.0621E-05   1.6351E-03   4.6619E-04
   1.9000E-01   6.4480E-07   3.8871E-05   2.5918E-03   7.2457E-04
   2.0000E-01   1.3439E-06   7.1761E-05   4.1055E-03   1.0860E-03
   2.1000E-01   2.6283E-06   1.2575E-04   6.0832E-03   1.5770E-03
   2.2000E-01   4.8761E-06   2.1317E-04   8.9726E-03   2.2269E-03
   2.3000E-01   8.9158E-06   3.3742E-04   1.2798E-02   3.0677E-03
   2.4000E-01   1.6092E-05   5.3379E-04   1.7702E-02   4.1337E-03
   2.5000E-01   2.7001E-05   7.5808E-04   2.3869E-02   5.4612E-03
   2.6000E-01   4.3874E-05   1.1051E-03   3.1428E-02   7.0875E-03
   2.7000E-01   7.0362E-05   1.5809E-03   4.0501E-02   9.0510E-03
   2.8000E-01   1.0444E-04   2.2370E-03   5.2070E-02   1.1390E-02
   2.9000E-01   1.5752E-04   3.1368E-03   6.4858E-02   1.4144E-02
   3.0000E-01   2.4158E-04   4.2534E-03   7.9365E-02   1.7350E-02
   3.1000E-01   3.5122E-04   5.6823E-03   9.5665E-02   2.1045E-02
   3.2000E-01   5.0020E-04   7.3073E-03   1.1348E-01   2.5263E-02
   3.3000E-01   7.0080E-04   9.4678E-03   1.3256E-01   3.0037E-02
   3.4000E-01   9.1607E-04   1.2211E-02   1.5276E-01   3.5397E-02
   3.5000E-01   1.1598E-03   1.5068E-02   1.7498E-01   4.1369E-02
   3.6000E-01   1.5375E-03   1.8501E-02   1.9953E-01   4.7979E-02
   3.7000E-01   1.9616E-03   2.2733E-02   2.2296E-01   5.5245E-02
   3.8000E-01   2.4087E-03   2.7341E-02   2.4884E-01   6.3185E-02
   3.9000E-01   3.0382E-03   3.2630E-02   2.7594E-01   7.1809E-02
   4.0000E-01   3.8376E-03   3.8931E-02   3.0382E-01   8.1126E-02
   4.1000E-01   4.5968E-03   4.5916E-02   3.3232E-01   9.1141E-02
   4.2000E-01   5.6133E-03   5.3769E-02   3.6272E-01   1.0185E-01
   4.3000E-01   6.7754E-03   6.2428E-02   3.9473E-01   1.1325E-01
   4.4000E-01   8.1108E-03   7.2544E-02   4.2636E-01   1.2534E-01
   4.5000E-01   9.6207E-03   8.3606E-02   4.5841E-01   1.3809E-01
   4.6000E-01   1.1639E-02   9.4910E-02   4.8997E-01   1.5149E-01
   4.7000E-01   1.3939E-02   1.0718E-01   5.2070E-01   1.6552E-01
   4.8000E-01   1.6378E-02   1.2012E-01   5.5069E-01   1.8016E-01
   4.9000E-01   1.8323E-02   1.3360E-01   5.8054E-01   1.9537E-01
   5.0000E-01   2.0792E-02   1.4819E-01   6.0885E-01   2.1112E-01
   5.1000E-01   2.3962E-02   1.6413E-01   6.3638E-01   2.2739E-01
   5.2000E-01   2.7585E-02   1.8121E-01   6.6366E-01   2.4413E-01
   5.3000E-01   3.1325E-02   1.9953E-01   6.9095E-01   2.6130E-01
   5.4000E-01   3.5445E-02   2.1787E-01   7.1662E-01   2.7885E-01
   5.5000E-01   4.1014E-02   2.3739E-01   7.4066E-01   2.9676E-01
   5.6000E-01   4.6622E-02   2.5897E-01   7.6092E-01   3.1497E-01
   5.7000E-01   5.2161E-02   2.8030E-01   7.8014E-01   3.3344E-01
   5.8000E-01   5.7607E-02   3.0305E-01   7.9858E-01   3.5212E-01
   5.9000E-01   6.4147E-02   3.2637E-01   8.1853E-01   3.7097E-01
   6.0000E-01   7.1440E-02   3.4862E-01   8.3422E-01   3.8994E-01
   6.1000E-01   7.9293E-02   3.6968E-01   8.4925E-01   4.0898E-01
   6.2000E-01   8.8079E-02   3.9357E-01   8.6517E-01   4.2805E-01
   6.3000E-01   9.7436E-02   4.1724E-01   8.7848E-01   4.4711E-01
   6.4000E-01   1.0699E-01   4.4165E-01   8.9068E-01   4.6611E-01
   6.5000E-01   1.1775E-01   4.6489E-01   9.0251E-01   4.8501E-01
   6.6000E-01   1.2844E-01   4.9037E-01   9.1331E-01   5.0377E-01
   6.7000E-01   1.4089E-01   5.1644E-01   9.2262E-01   5.2237E-01
   6.8000E-01   1.5348E-01   5.4024E-01   9.3065E-01   5.4075E-01
   6.9000E-01   1.6509E-01   5.6167E-01   9.3799E-01   5.5888E-01
   7.0000E-01   1.7742E-01   5.8567E-01   9.4475E-01   5.7674E-01
   7.1000E-01   1.9163E-01   6.0783E-01   9.5135E-01   5.9430E-01
   7.2000E-01   2.0594E-01   6.2871E-01   9.5726E-01   6.1153E-01
   7.3000E-01   2.1977E-01   6.4878E-01   9.6250E-01   6.2840E-01
   7.4000E-01   2.3438E-01   6.6923E-01   9.6701E-01   6.4490E-01
   7.5000E-01   2.5192E-01   6.8938E-01   9.7115E-01   6.6100E-01
   7.6000E-01   2.7000E-01   7.0780E-01   9.7480E-01   6.7669E-01
   7.7000E-01   2.8698E-01   7.2631E-01   9.7782E-01   6.9195E-01
