      Acc.(g)          P05          P50          P95        PMEAN
   7.8000E-01   3.0454E-01   7.4502E-01   9.8051E-01   7.0678E-01
   7.9000E-01   3.2367E-01   7.6274E-01   9.8291E-01   7.2116E-01
   8.0000E-01   3.4242E-01   7.7843E-01   9.8494E-01   7.3508E-01
   8.1000E-01   3.6076E-01   7.9441E-01   9.8661E-01   7.4854E-01
   8.2000E-01   3.7933E-01   8.0990E-01   9.8804E-01   7.6153E-01
   8.3000E-01   3.9914E-01   8.2364E-01   9.8947E-01   7.7406E-01
   8.4000E-01   4.1897E-01   8.3670E-01   9.9085E-01   7.8612E-01
   8.5000E-01   4.3824E-01   8.4843E-01   9.9217E-01   7.9771E-01
   8.6000E-01   4.5670E-01   8.6035E-01   9.9319E-01   8.0885E-01
   8.7000E-01   4.7719E-01   8.7100E-01   9.9409E-01   8.1952E-01
   8.8000E-01   4.9773E-01   8.8131E-01   9.9485E-01   8.2974E-01
   8.9000E-01   5.1818E-01   8.9065E-01   9.9554E-01   8.3952E-01
   9.0000E-01   5.3848E-01   9.0029E-01   9.9613E-01   8.4886E-01
   9.1000E-01   5.5858E-01   9.0878E-01   9.9668E-01   8.5777E-01
   9.2000E-01   5.7844E-01   9.1687E-01   9.9715E-01   8.6626E-01
   9.3000E-01   5.9801E-01   9.2418E-01   9.9756E-01   8.7434E-01
   9.4000E-01   6.1724E-01   9.3163E-01   9.9793E-01   8.8203E-01
   9.5000E-01   6.3609E-01   9.3831E-01   9.9823E-01   8.8933E-01
   9.6000E-01   6.5400E-01   9.4413E-01   9.9848E-01   8.9625E-01
   9.7000E-01   6.7057E-01   9.4958E-01   9.9870E-01   9.0282E-01
   9.8000E-01   6.8675E-01   9.5441E-01   9.9888E-01   9.0903E-01
   9.9000E-01   7.0190E-01   9.5874E-01   9.9906E-01   9.1491E-01
   1.0000E+00   7.1650E-01   9.6283E-01   9.9921E-01   9.2046E-01
   1.0100E+00   7.3063E-01   9.6648E-01   9.9935E-01   9.2570E-01
   1.0200E+00   7.4428E-01   9.6993E-01   9.9946E-01   9.3064E-01
   1.0300E+00   7.5752E-01   9.7302E-01   9.9954E-01   9.3530E-01
   1.0400E+00   7.7034E-01   9.7593E-01   9.9962E-01   9.3968E-01
   1.0500E+00   7.8274E-01   9.7862E-01   9.9968E-01   9.4380E-01
   1.0600E+00   7.9467E-01   9.8096E-01   9.9974E-01   9.4767E-01
   1.0700E+00   8.0597E-01   9.8302E-01   9.9979E-01   9.5131E-01
   1.0800E+00   8.1677E-01   9.8484E-01   9.9983E-01   9.5472E-01
   1.0900E+00   8.2711E-01   9.8655E-01   9.9986E-01   9.5791E-01
   1.1000E+00   8.3705E-01   9.8805E-01   9.9988E-01   9.6091E-01
