Component	Acceleration	5%_PF	50%_PF	95%_PF	Mean_PF
00013_PCSSF	3.000E-01	8.14082E-07	6.91082E-04	5.45917E-02	1.08644E-02
00013_PCSSF	5.000E-01	4.96686E-04	4.49504E-02	4.60392E-01	1.11810E-01
00013_PCSSF	7.000E-01	1.06458E-02	2.40002E-01	8.13315E-01	3.06139E-01
00013_PCSSF	9.000E-01	5.89542E-02	5.13108E-01	9.48379E-01	5.09407E-01
00014_SDGSF_A	1.500E-01	4.04419E-11	1.20422E-08	1.57658E-06	5.55683E-07
00014_SDGSF_A	3.000E-01	4.09264E-06	1.99234E-04	4.37188E-03	9.96823E-04
00014_SDGSF_A	5.000E-01	1.54896E-03	2.07416E-02	1.31467E-01	3.75673E-02
00014_SDGSF_A	7.000E-01	2.45210E-02	1.47079E-01	4.48338E-01	1.79897E-01
00014_SDGSF_A	9.000E-01	1.09523E-01	3.78325E-01	7.28837E-01	3.93384E-01
00015_SDGSF_B	1.500E-01	4.04419E-11	1.20422E-08	1.57658E-06	5.55683E-07
00015_SDGSF_B	3.000E-01	4.09264E-06	1.99234E-04	4.37188E-03	9.96823E-04
00015_SDGSF_B	5.000E-01	1.54896E-03	2.07416E-02	1.31467E-01	3.75673E-02
00015_SDGSF_B	7.000E-01	2.45210E-02	1.47079E-01	4.48338E-01	1.79897E-01
00015_SDGSF_B	9.000E-01	1.09523E-01	3.78325E-01	7.28837E-01	3.93384E-01
00016_E-MC04A	1.500E-01	2.69898E-17	8.31974E-12	1.80953E-07	9.63994E-07
00016_E-MC04A	3.000E-01	1.15619E-10	1.33851E-06	1.14685E-03	4.51260E-04
00016_E-MC04A	5.000E-01	6.60438E-07	7.07110E-04	6.09462E-02	1.20073E-02
00016_E-MC04A	7.000E-01	5.97956E-05	1.38288E-02	2.88677E-01	5.97203E-02
00016_E-MC04A	9.000E-01	9.42420E-04	7.17407E-02	5.72171E-01	1.50460E-01
00017_E-MC04B	1.500E-01	2.69898E-17	8.31974E-12	1.80953E-07	9.63994E-07
00017_E-MC04B	3.000E-01	1.15619E-10	1.33851E-06	1.14685E-03	4.51260E-04
00017_E-MC04B	5.000E-01	6.60438E-07	7.07110E-04	6.09462E-02	1.20073E-02
00017_E-MC04B	7.000E-01	5.97956E-05	1.38288E-02	2.88677E-01	5.97203E-02
00017_E-MC04B	9.000E-01	9.42420E-04	7.17407E-02	5.72171E-01	1.50460E-01
00018_E-IN01C	1.500E-01	4.39725E-22	3.76781E-15	1.26009E-09	8.88998E-08
00018_E-IN01C	3.000E-01	3.01060E-13	3.62242E-08	1.78505E-04	1.49523E-04
00018_E-IN01C	5.000E-01	2.68604E-08	1.45309E-04	3.52634E-02	7.48165E-03
00018_E-IN01C	7.000E-01	9.41695E-06	6.88374E-03	2.58407E-01	4.90499E-02
00018_E-IN01C	9.000E-01	3.22816E-04	5.51694E-02	5.86417E-01	1.41816E-01
00019_E-IN01D	1.500E-01	4.39725E-22	3.76781E-15	1.26009E-09	8.88998E-08
00019_E-IN01D	3.000E-01	3.01060E-13	3.62242E-08	1.78505E-04	1.49523E-04
00019_E-IN01D	5.000E-01	2.68604E-08	1.45309E-04	3.52634E-02	7.48165E-03
00019_E-IN01D	7.000E-01	9.41695E-06	6.88374E-03	2.58407E-01	4.90499E-02
00019_E-IN01D	9.000E-01	3.22816E-04	5.51694E-02	5.86417E-01	1.41816E-01
