Component	AccRange	5%_PF	50%_PF	95%_PF	Mean_PF
00000_SLOOP	040060	7.95772E-01	9.89882E-01	9.99933E-01	9.57110E-01
00001_SDGSF	040060	1.54896E-03	2.07416E-02	1.31467E-01	3.75673E-02
00002_SSWRC	040060	1.33597E-02	2.84088E-01	8.58614E-01	3.43263E-01
00003_SSWSF	040060	3.92648E-04	4.33496E-02	4.72806E-01	1.12885E-01
00004_SLCRC	040060	2.44867E-03	1.21231E-01	6.82962E-01	2.04259E-01
00005_SLCSF	040060	5.78882E-05	1.35509E-02	2.85971E-01	5.90569E-02
00006_SMCSF	040060	6.60438E-07	7.07110E-04	6.09462E-02	1.20073E-02
00007_SBCSF	040060	8.02809E-08	3.07393E-04	5.36995E-02	1.07253E-02
00008_SDCSF	040060	1.19693E-06	1.85420E-03	1.38531E-01	2.56645E-02
00009_SIRSF	040060	1.13384E-06	8.69573E-04	6.23886E-02	1.23166E-02
00010_SINSF	040060	2.68604E-08	1.45309E-04	3.52634E-02	7.48165E-03
00011_SICPB	040060	5.57543E-08	1.25107E-04	2.18380E-02	4.80641E-03
00012_SITSF	040060	8.36236E-05	1.52018E-02	2.85823E-01	6.03138E-02
00013_PCSSF	040060	4.96686E-04	4.49504E-02	4.60392E-01	1.11810E-01
00014_SDGSF_A	040060	1.54896E-03	2.07416E-02	1.31467E-01	3.75673E-02
00015_SDGSF_B	040060	1.54896E-03	2.07416E-02	1.31467E-01	3.75673E-02
00016_E-MC04A	040060	6.60438E-07	7.07110E-04	6.09462E-02	1.20073E-02
00017_E-MC04B	040060	6.60438E-07	7.07110E-04	6.09462E-02	1.20073E-02
00018_E-IN01C	040060	2.68604E-08	1.45309E-04	3.52634E-02	7.48165E-03
00019_E-IN01D	040060	2.68604E-08	1.45309E-04	3.52634E-02	7.48165E-03
