Component	AccRange	5%_PF	50%_PF	95%_PF	Mean_PF
00000_SLOOP	060080	9.90764E-01	9.99941E-01	1.00000E+00	9.97812E-01
00001_SDGSF	060080	2.45210E-02	1.47079E-01	4.48338E-01	1.79897E-01
00002_SSWRC	060080	1.45634E-01	7.22240E-01	9.87270E-01	6.61605E-01
00003_SSWSF	060080	9.68551E-03	2.44011E-01	8.29298E-01	3.11943E-01
00004_SLCRC	060080	4.53100E-02	4.81144E-01	9.44931E-01	4.86664E-01
00005_SLCSF	060080	2.08322E-03	1.11152E-01	6.64374E-01	1.94077E-01
00006_SMCSF	060080	5.97956E-05	1.38288E-02	2.88677E-01	5.97203E-02
00007_SBCSF	060080	2.25403E-05	1.17638E-02	3.26447E-01	6.41515E-02
00008_SDCSF	060080	1.87759E-04	4.07799E-02	5.29218E-01	1.21083E-01
00009_SIRSF	060080	9.26147E-05	1.61017E-02	2.92738E-01	6.21503E-02
00010_SINSF	060080	9.41695E-06	6.88374E-03	2.58407E-01	4.90499E-02
00011_SICPB	060080	1.42382E-05	5.53523E-03	1.85230E-01	3.62169E-02
00012_SITSF	060080	2.33243E-03	1.09321E-01	6.43942E-01	1.88886E-01
00013_PCSSF	060080	1.06458E-02	2.40002E-01	8.13315E-01	3.06139E-01
00014_SDGSF_A	060080	2.45210E-02	1.47079E-01	4.48338E-01	1.79897E-01
00015_SDGSF_B	060080	2.45210E-02	1.47079E-01	4.48338E-01	1.79897E-01
00016_E-MC04A	060080	5.97956E-05	1.38288E-02	2.88677E-01	5.97203E-02
00017_E-MC04B	060080	5.97956E-05	1.38288E-02	2.88677E-01	5.97203E-02
00018_E-IN01C	060080	9.41695E-06	6.88374E-03	2.58407E-01	4.90499E-02
00019_E-IN01D	060080	9.41695E-06	6.88374E-03	2.58407E-01	4.90499E-02
