Component	AccRange	5%_PF	50%_PF	95%_PF	Mean_PF
00000_SLOOP	010020	1.69224E-06	8.14485E-04	4.89270E-02	9.86861E-03
00001_SDGSF	010020	4.04419E-11	1.20422E-08	1.57658E-06	5.55683E-07
00002_SSWRC	010020	9.62403E-11	1.16556E-06	1.04367E-03	4.20070E-04
00003_SSWSF	010020	1.22327E-12	4.12727E-08	1.00952E-04	7.49802E-05
00004_SLCRC	010020	4.33687E-12	1.09701E-07	2.02162E-04	1.24009E-04
00005_SLCSF	010020	7.01754E-14	4.43208E-09	2.01032E-05	2.38446E-05
00006_SMCSF	010020	2.69898E-17	8.31974E-12	1.80953E-07	9.63994E-07
00007_SBCSF	010020	2.95345E-21	1.77314E-14	4.16538E-09	1.81065E-07
00008_SDCSF	010020	3.70366E-19	8.71822E-13	8.09105E-08	1.08656E-06
00009_SIRSF	010020	6.75016E-17	1.25657E-11	1.92607E-07	8.41722E-07
00010_SINSF	010020	4.39725E-22	3.76781E-15	1.26009E-09	8.88998E-08
00011_SICPB	010020	5.80949E-21	8.25265E-15	8.17620E-10	2.86153E-08
00012_SITSF	010020	5.87305E-13	1.80275E-08	4.61486E-05	3.90691E-05
00013_PCSSF	010020	4.14356E-12	8.15958E-08	1.36032E-04	8.56442E-05
00014_SDGSF_A	010020	4.04419E-11	1.20422E-08	1.57658E-06	5.55683E-07
00015_SDGSF_B	010020	4.04419E-11	1.20422E-08	1.57658E-06	5.55683E-07
00016_E-MC04A	010020	2.69898E-17	8.31974E-12	1.80953E-07	9.63994E-07
00017_E-MC04B	010020	2.69898E-17	8.31974E-12	1.80953E-07	9.63994E-07
00018_E-IN01C	010020	4.39725E-22	3.76781E-15	1.26009E-09	8.88998E-08
00019_E-IN01D	010020	4.39725E-22	3.76781E-15	1.26009E-09	8.88998E-08
