Component	AccRange	5%_PF	50%_PF	95%_PF	Mean_PF
00000_SLOOP	020040	6.74153E-02	5.00000E-01	9.32585E-01	5.00000E-01
00001_SDGSF	020040	4.09264E-06	1.99234E-04	4.37188E-03	9.96823E-04
00002_SSWRC	020040	3.48862E-05	9.84490E-03	2.45930E-01	4.95616E-02
00003_SSWSF	020040	4.65042E-07	5.55044E-04	5.30282E-02	1.05582E-02
00004_SLCRC	020040	3.14407E-06	2.04194E-03	1.09957E-01	2.11512E-02
00005_SLCSF	020040	4.22306E-08	1.02621E-04	1.93378E-02	4.33096E-03
00006_SMCSF	020040	1.15619E-10	1.33851E-06	1.14685E-03	4.51260E-04
00007_SBCSF	020040	1.26632E-12	1.07157E-07	3.73851E-04	2.48083E-04
00008_SDCSF	020040	4.63396E-11	1.55496E-06	2.19690E-03	8.69344E-04
00009_SIRSF	020040	2.32614E-10	1.79394E-06	1.19293E-03	4.41745E-04
00010_SINSF	020040	3.01060E-13	3.62242E-08	1.78505E-04	1.49523E-04
00011_SICPB	020040	1.19460E-12	4.05210E-08	9.96353E-05	7.42748E-05
00012_SITSF	020040	1.09223E-07	1.69347E-04	2.35952E-02	5.09181E-03
00013_PCSSF	020040	8.14082E-07	6.91082E-04	5.45917E-02	1.08644E-02
00014_SDGSF_A	020040	4.09264E-06	1.99234E-04	4.37188E-03	9.96823E-04
00015_SDGSF_B	020040	4.09264E-06	1.99234E-04	4.37188E-03	9.96823E-04
00016_E-MC04A	020040	1.15619E-10	1.33851E-06	1.14685E-03	4.51260E-04
00017_E-MC04B	020040	1.15619E-10	1.33851E-06	1.14685E-03	4.51260E-04
00018_E-IN01C	020040	3.01060E-13	3.62242E-08	1.78505E-04	1.49523E-04
00019_E-IN01D	020040	3.01060E-13	3.62242E-08	1.78505E-04	1.49523E-04
